Fecha,Agente,Asset_Category,Moneda,Volumen_USD,Gastos_USD,TC_Aplicado,Fondo
2025-01-20,WIN Securities,Renta Variable,ARS,29020.642560000022,45.64947554764803,1041.5000266624,RMIXTA
2025-01-20,WIN Securities,Renta Variable,ARS,14786.36544000001,23.258952837120017,1041.5000266624,RMIXTA
2025-01-20,WIN Securities,Renta Variable,ARS,39032.26016256003,61.39767485644804,1041.5000266624,RMIXTA
2025-01-20,WIN Securities,Renta Variable,ARS,39750.35904000003,62.52731476992004,1041.5000266624,RMIXTA
2025-01-20,WIN Securities,Renta Variable,ARS,83341.33248000006,131.0959159910401,1041.5000266624,RMIXTA
2025-01-20,WIN Securities,Renta Variable,ARS,49207.87200000003,78.36413625600005,1041.5000266624,RMIXTA
2025-01-21,WIN Securities,Renta Variable,ARS,34030.56217400005,53.53007429970208,1047.0000412518,RMIXTA
2025-01-21,WIN Securities,Renta Variable,ARS,31605.576596192048,49.71550902497208,1047.0000412518,RMIXTA
2025-01-21,WIN Securities,Renta Variable,ARS,29512.892820000045,46.42378040586007,1047.0000412518,RMIXTA
2025-01-21,WIN Securities,Renta Variable,ARS,46418.336280000076,73.01604296844012,1047.0000412518,RMIXTA
2025-01-21,WIN Securities,Renta Variable,ARS,62655.2028800001,98.55663413024016,1047.0000412518,RMIXTA
2025-02-25,WIN Securities,Renta Variable,ARS,68952.84964929687,108.46283391277107,1060.5000427382,RMIXTA
2025-03-05,WIN Securities,Renta Variable,ARS,68569.81734600161,149.3450602990085,1063.4999890991,RMIXTA
2025-03-11,WIN Securities,Renta Variable,ARS,65612.35945920348,142.9037239138767,1065.5000151834,RMIXTA
2025-04-08,WIN Securities,Renta Variable,ARS,63969.32296000001,139.32518540688005,1075.750012909,RMIXTA
2025-06-02,WIN Securities,Renta Variable,ARS,84716.2300571493,184.5119434519233,1179.4999604278,RMIXTA
2025-06-02,WIN Securities,Renta Variable,ARS,42389.14936619915,92.32356392831414,1179.4999604278,RMIXTA
2025-06-02,WIN Securities,Renta Variable,ARS,42386.605915499145,92.31802768395714,1179.4999604278,RMIXTA
2025-06-02,WIN Securities,Renta Variable,ARS,84654.5174649983,184.3775390387663,1179.4999604278,RMIXTA
2025-06-02,WIN Securities,Renta Variable,ARS,42333.19345079915,92.20169872710814,1179.4999604278,RMIXTA
2025-06-05,WIN Securities,Renta Variable,ARS,41976.29070505608,91.42436176014618,1190.9999468814,RMIXTA
2025-06-05,WIN Securities,Renta Variable,ARS,83962.46386227416,182.87024325257036,1190.9999468814,RMIXTA
2025-06-05,WIN Securities,Renta Variable,ARS,83912.26234870015,182.76090655583835,1190.9999468814,RMIXTA
2025-06-05,WIN Securities,Renta Variable,ARS,41977.19750610408,91.42633489205618,1190.9999468814,RMIXTA
2025-06-05,WIN Securities,Renta Variable,ARS,83950.18006659616,182.84349262165435,1190.9999468814,RMIXTA
2025-06-09,WIN Securities,Renta Variable,ARS,168706.99181077295,367.44383326934894,1184.9999389725,RMIXTA
2025-06-11,WIN Securities,Renta Variable,ARS,84788.69825968801,184.66978250841603,1181.9999841612,RMIXTA
2025-08-20,WIN Securities,Renta Variable,ARS,92232.14353579002,189.72151222775503,1301.0000136605,RMIXTA
2025-08-20,WIN Securities,Renta Variable,ARS,92218.79226767502,189.69406411121005,1301.0000136605,RMIXTA
2025-08-20,WIN Securities,Renta Variable,ARS,92215.21809400001,189.68670054480003,1301.0000136605,RMIXTA
2025-08-20,WIN Securities,Renta Variable,ARS,91786.89373262502,188.80564751792502,1301.0000136605,RMIXTA
2025-08-22,WIN Securities,Renta Variable,ARS,189630.66839835804,390.0703253106246,1320.9999494057,MULTI
2025-09-19,WIN Securities,Renta Variable,ARS,101293.05457906178,220.61627074266605,1474.7500667324,RMIXTA
2025-09-19,WIN Securities,Renta Variable,ARS,220688.43551309107,480.65941883332323,1474.7500667324,RMIXTA
2025-09-19,WIN Securities,Renta Variable,ARS,120892.06030349732,263.30290722438724,1474.7500667324,RMIXTA
