Fecha,Fondo,Tipo,Movimiento,Cantidad_Cuotapartes,Valor_Cuotaparte,Moneda,Importe,Importe_USD
2025-01-02,Novus Capital,House View USD,Rescate,654.0,1.097232,USDMEP,717.59,717.59
2025-01-02,Novus Performance,House View ARS,Rescate,88664461.9365,1.455708,ARS,129069566.56,125128.0272294374
2025-01-02,Novus Performance,House View ARS,Rescate,101396200.9846,1.466845,ARS,148732510.43,144190.50215324148
2025-01-02,Novus Liquidez,Money Market,Suscripcion,27495725.8117,5.539122,ARS,152302179.75,147651.16055458045
2025-01-02,Novus Liquidez,Money Market,Rescate,32963328.972,5.539122,ARS,182587900.7,177012.01312963804
2025-01-02,Novus Liquidez,Money Market,Suscripcion,100369164.5438,1.835225,ARS,184200000.0,178574.88198000475
2025-01-02,Novus Liquidez Plus,Renta Fija CP,Rescate,37328511.5567,10.006991,ARS,373546079.19,362138.6916690975
2025-01-02,Novus Liquidez Plus,Renta Fija CP,Rescate,68904018.1921,9.810362,ARS,675973361.72,655330.419602476
2025-01-02,Novus Renta Fija,Renta Fija,Suscripcion,695402001.963,1.006612,ARS,700000000.0,678623.3300000181
2025-01-02,Novus Gestión,Renta Fija CER,Suscripcion,75384593.3491,1.326531,ARS,100000000.0,96946.19000000258
2025-01-02,Novus Liquidez,Money Market,Suscripcion,207292337.1278,5.788926,ARS,1200000000.0,1163354.280000031
2025-01-02,Novus Liquidez,Money Market,Rescate,395260900.8499,5.642723,ARS,2230347776.23,2162237.192804768
2025-01-02,Novus Liquidez,Money Market,Suscripcion,402306351.4671,5.642723,ARS,2270103302.47,2200778.6608088994
2025-01-02,Novus Liquidez,Money Market,Suscripcion,458461552.281,5.788926,ARS,2654000000.0,2572951.8826000686
2025-01-02,Novus Balanceado,Renta Fija Mix,Rescate,3970863518.0928,1.001554,ARS,3977034240.0,3855583.170675559
2025-01-02,Novus Liquidez,Money Market,Suscripcion,773410039.6173,5.642723,ARS,4364138618.98,4230866.117419839
2025-01-02,Novus Liquidez,Money Market,Rescate,904780255.1465,5.642723,ARS,5105424355.66,4949514.396144551
2025-01-02,Novus Liquidez,Money Market,Suscripcion,1209205299.9122,5.788926,ARS,7000000000.0,6786233.3000001805
2025-01-02,Novus Liquidez,Money Market,Rescate,1212366508.0534,5.788926,ARS,7018300000.0,6803974.452770181
2025-01-02,Novus Liquidez,Money Market,Rescate,292973169.8073,5.788926,ARS,1696000000.0,1644207.3824000438
2025-01-02,Novus Performance,House View ARS,Rescate,28430780.0383,1.455708,ARS,41386913.95,40123.036233104576
2025-01-02,Novus Liquidez,Money Market,Rescate,34548722.8546,5.788926,ARS,200000000.0,193892.38000000516
2025-01-02,Novus Performance,House View ARS,Suscripcion,10036235.6481,1.462876,ARS,14681768.26,14233.414952699673
2025-01-02,Novus Renta Dolar,USD MEP,Suscripcion,908.5662,1.128074,USDMEP,1024.93,1024.93
2025-01-02,Novus Liquidez,Money Market,Rescate,749.2245,2.00207,ARS,1500.0,1.4541928500000387
2025-01-02,Novus Performance,House View ARS,Rescate,26672893.1823,1.466845,ARS,39125000.0,37930.19683750101
2025-01-02,Novus Valor,Dólar Linked,Rescate,8611.2083,6.336494,ARS,54564.87,52.89856254345441
2025-01-02,Novus Capital,House View USD,Suscripcion,64828.2855,1.096151,USDMEP,71061.59,71061.59
2025-01-02,Novus Gestion II,Renta Fija CP,Rescate,152072.8961,1.052127,ARS,160000.0,155.11390400000414
