Fecha,Fondo,Tipo,Moneda,PatrimonioNeto,PatrimonioNeto_USD
2025-01-02,Novus Multiestrategia,Multi,ARS,5079253476.38,4924142.725793092
2025-01-02,Novus Liquidez,Money Market,ARS,46432197306.76,45014246.22218764
2025-01-02,Novus Renta Fija,Renta Fija,ARS,2628053775.18,2547798.0061882436
2025-01-02,Novus Liquidez Plus,Renta Fija CP,ARS,6707656876.15,6502817.779700616
2025-01-02,Novus Estrategia,CER,ARS,1179462839.64,1143444.2854968202
2025-01-02,Novus Ahorro Dolares,USD MEP,USD,2000.0,2000.0
2025-01-02,Novus Renta Capital,Pagarés/Cheques,ARS,3000.0,2.9083857000000775
2025-01-02,Novus Balanceado,Renta Fija Mix,ARS,7131041639.06,6913273.176382407
2025-01-02,Novus Renta Balanceado,Renta Fija Mix,ARS,821017882.56,795945.5563606157
2025-01-02,Novus Gestión,Renta Fija CER,ARS,71264867910.26,69088574.24753153
2025-01-02,Novus Income,Renta Fija,ARS,2657902635.17,2576735.3387069837
2025-01-02,Novus Valor,Dólar Linked,ARS,500251521.85,484974.79085060547
2025-01-02,Novus Capital,House View USD,USD,15770328.35,15770328.35
2025-01-02,Novus Performance,House View ARS,ARS,47241091289.2,45798438.1193025
2025-01-02,Novus PyME FCI Abierto PyMES,PyME,ARS,1897841683.25,1839885.2041427922
2025-01-02,Novus Renta Mixta,Mixto,ARS,1491966395.19,1446404.576217087
2025-01-02,Novus Gestion II,Renta Fija CP,ARS,4429762687.74,4294486.151805641
2025-01-02,Novus Renta Dolar,USD MEP,USD,17369980.98,17369980.98
2025-01-03,Novus Liquidez,Money Market,ARS,53202065711.22,51527424.28882544
2025-01-03,Novus Gestión,Renta Fija CER,ARS,71395752957.99,69148428.84212801
2025-01-03,Novus Valor,Dólar Linked,ARS,505438067.86,489528.39379794715
2025-01-03,Novus Gestion II,Renta Fija CP,ARS,4492236018.07,4350833.904929
2025-01-03,Novus Capital,House View USD,USD,16114949.19,16114949.19
2025-01-03,Novus Renta Dolar,USD MEP,USD,17426189.98,17426189.98
2025-01-03,Novus Renta Balanceado,Renta Fija Mix,ARS,825348364.31,799368.8738465755
2025-01-03,Novus Renta Mixta,Mixto,ARS,1503890778.78,1456552.8087362715
2025-01-03,Novus Renta Fija,Renta Fija,ARS,2640015994.97,2556916.2114962055
2025-01-03,Novus Income,Renta Fija,ARS,2668755587.61,2584751.167978675
2025-01-03,Novus Liquidez Plus,Renta Fija CP,ARS,6779613351.09,6566211.461637423
2025-01-03,Novus Balanceado,Renta Fija Mix,ARS,3569422408.03,3457067.698892273
2025-01-03,Novus Ahorro Dolares,USD MEP,USD,2000.0,2000.0
2025-01-03,Novus PyME FCI Abierto PyMES,PyME,ARS,1900875638.59,1841041.7761140135
2025-01-03,Novus Renta Capital,Pagarés/Cheques,ARS,137973000.0,133630.02387899355
2025-01-03,Novus Estrategia,CER,ARS,1191710128.04,1154198.6683396292
2025-01-03,Novus Multiestrategia,Multi,ARS,5085951788.64,4925861.284188741
2025-01-03,Novus Performance,House View ARS,ARS,47002077205.16,45522592.82097098
2025-01-06,Novus Balanceado,Renta Fija Mix,ARS,3125618743.95,3019921.5702570914
2025-01-06,Novus Renta Dolar,USD MEP,USD,17550088.51,17550088.51
2025-01-06,Novus Ahorro Dolares,USD MEP,USD,2000.0,2000.0
2025-01-06,Novus Income,Renta Fija,ARS,2672199260.39,2581835.1013209494
2025-01-06,Novus Renta Capital,Pagarés/Cheques,ARS,138204090.35,133530.52554908834
2025-01-06,Novus Estrategia,CER,ARS,1202621539.92,1161953.2088774503
2025-01-06,Novus Liquidez Plus,Renta Fija CP,ARS,6827529138.08,6596646.681735037
2025-01-06,Novus Gestión,Renta Fija CER,ARS,71523217208.34,69104559.48593594
2025-01-06,Novus Renta Fija,Renta Fija,ARS,2646838516.55,2557331.9665389406
2025-01-06,Novus Renta Balanceado,Renta Fija Mix,ARS,829173570.91,801133.9057666797
2025-01-06,Novus PyME FCI Abierto PyMES,PyME,ARS,1905773108.19,1841326.7224542052
2025-01-06,Novus Renta Mixta,Mixto,ARS,1526374062.72,1474757.5868654365
2025-01-06,Novus Liquidez,Money Market,ARS,51313130981.63,49577905.61910284
2025-01-06,Novus Performance,House View ARS,ARS,46950494465.9,45362797.764843374
2025-01-06,Novus Valor,Dólar Linked,ARS,507596231.27,490431.1540748815
2025-01-06,Novus Gestion II,Renta Fija CP,ARS,4716844257.8,4557337.565640536
2025-01-06,Novus Multiestrategia,Multi,ARS,5089529184.44,4917419.629727307
2025-01-06,Novus Capital,House View USD,USD,16578810.46,16578810.46
2025-01-07,Novus Gestion II,Renta Fija CP,ARS,4701859521.47,4540665.671495235
2025-01-07,Novus Performance,House View ARS,ARS,47144989841.94,45528718.155186675
2025-01-07,Novus Ahorro Dolares,USD MEP,USD,2000.0,2000.0
2025-01-07,Novus Liquidez,Money Market,ARS,60176100160.83,58113082.91901358
2025-01-07,Novus PyME FCI Abierto PyMES,PyME,ARS,1907500380.53,1842105.544984205
2025-01-07,Novus Renta Capital,Pagarés/Cheques,ARS,139326938.28,134550.39285494055
2025-01-07,Novus Estrategia,CER,ARS,1212636894.54,1171064.063884431
2025-01-07,Novus Liquidez Plus,Renta Fija CP,ARS,6860324738.14,6625132.225142041
2025-01-07,Novus Renta Mixta,Mixto,ARS,1529800720.68,1477354.5625728595
2025-01-07,Novus Renta Dolar,USD MEP,USD,17567779.11,17567779.11
2025-01-07,Novus Renta Fija,Renta Fija,ARS,2646776430.26,2556036.993901279
2025-01-07,Novus Balanceado,Renta Fija Mix,ARS,113485681.64,109595.05201633082
2025-01-07,Novus Income,Renta Fija,ARS,2682094462.57,2590144.2181095933
2025-01-07,Novus Gestión,Renta Fija CER,ARS,71705789174.38,69247499.60411154
2025-01-07,Novus Multiestrategia,Multi,ARS,5131993269.68,4956053.144415332
2025-01-07,Novus Renta Balanceado,Renta Fija Mix,ARS,832177774.23,803648.2235960359
2025-01-07,Novus Capital,House View USD,USD,17376909.62,17376909.62
2025-01-07,Novus Valor,Dólar Linked,ARS,508317144.74,490890.50806685595
2025-01-08,Novus Gestión,Renta Fija CER,ARS,71891235210.47,69426587.99374625
2025-01-08,Novus Valor,Dólar Linked,ARS,509931323.83,492449.34825511335
2025-01-08,Novus Liquidez Plus,Renta Fija CP,ARS,7611656607.33,7350706.1838605665
2025-01-08,Novus Estrategia,CER,ARS,1228504148.26,1186387.3405451477
2025-01-08,Novus Renta Mixta,Mixto,ARS,1521264505.02,1469110.9939943315
2025-01-08,Novus PyME FCI Abierto PyMES,PyME,ARS,1909217820.14,1843764.1056120554
2025-01-08,Novus Renta Dolar,USD MEP,USD,18162357.41,18162357.41
2025-01-08,Novus Renta Capital,Pagarés/Cheques,ARS,139908024.53,135111.55772503177
2025-01-08,Novus Ahorro Dolares,USD MEP,USD,2000.0,2000.0
2025-01-08,Novus Multiestrategia,Multi,ARS,5143895255.91,4967547.094851408
2025-01-08,Novus Liquidez,Money Market,ARS,59792388410.01,57742525.95814697
