Concertación,Liquidación,Plazo,Deudor,Fondo,Contraparte,Especie,Cantidad,Tasa,Precio,Monto,Tasa Aplicada,Interés,Interés Diario,Ajuste,A Cobrar,Estado,Observaciones,Pasado a vencidos
2024-06-06,2024-06-07,1.0,,Mixta,Citi,TZX26,200000000,0.02,1.8225,364500000.0,5.479452054794521e-05,19972.60273972603,19972.60273972603,-0.002739726030995371,19972.6,Cobrado,Cobro registrado,
2024-07-16,2024-08-26,41.0,,Rdolar,Criteria,ARC1D,500000,0.035,,,0.003931506849315068,,,,,Vencido,,
2024-07-16,2024-08-26,41.0,,Rdolar,Criteria,PNDCD,500000,0.035,,,0.003931506849315068,,,,,Vencido,,
2024-09-27,2024-10-18,21.0,RSC,Renta Dólar,Criteria,ARC1D (82078),140000,,,,,,,,,Vencido,,
2024-09-27,2024-10-18,21.0,RSC,Renta Dólar,Criteria,PNDCO (95806),140000,,,,,,,,,Vencido,,
2024-09-27,2024-10-18,21.0,RSC,Renta Dólar,Criteria,PNMCD (82424),75000,,,,,,,,,Vencido,,
2024-09-27,2024-10-18,21.0,EGESAC,Renta Dólar,Criteria,ARC1D (82078),140000,,,,,,,,,Vencido,,
2024-09-27,2024-10-18,21.0,EGESAC,Renta Dólar,Criteria,PNDCO (95806),140000,,,,,,,,,Vencido,,
2024-09-27,2024-10-18,21.0,EGESAC,Renta Dólar,Criteria,PNMCD (82424),75000,,,,,,,,,Vencido,,
2024-10-18,2024-11-29,42.0,RSC,Renta Dólar,Criteria,BPY6D (9247),990000,,,,,,,,,Vencido,,
2024-10-18,2024-11-29,42.0,EGESAC,Renta Dólar,Criteria,BPY6D (9247),990000,,,,,,,,,Vencido,,
2024-11-14,2024-12-03,19.0,Rowing,Renta Dólar,Criteria,VSCRC (58133),500000,,,,,,,,,Vencido,,
2024-12-05,,,Rowing,Renta Dólar,Parakeet,GD30C (8108),2595941,,,,,,,,,Vencido,,
2024-12-23,2025-01-22,30.0,EGESAC,Renta Dólar,Criteria,GD30C (8108),600000,,,,,,,,,Cancelado,Cancelado,
2024-12-23,2025-01-22,30.0,RSC,Renta Dólar,Criteria,GD30C (8108),600000,,,,,,,,,Cancelado,Cancelado,
2024-12-23,,,Rowing,Gestion,Banco Hipotecario,TZXM5 (9263),5408389179,,,,,,,,,Vencido,,
2025-01-22,2025-02-24,33.0,RSC,Renta Dólar,Criteria,BPD7D (9237),450000,,,,,,,,,Vencido,,
2025-01-22,2025-02-24,33.0,EGESAC,Renta Dólar,Criteria,BPD7D (9237),450000,,,,,,,,,Vencido,,
2025-01-27,2025-02-25,29.0,Rowing,Gestion,Banco Hipotecario,TZXM5 (9263),5408389179,,,,,,,,,Vencido,,
2025-02-25,2025-03-26,29.0,Rowing,Renta Dólar,Criteria,YMCID,210199,,,,,,,,,Vencido,,
2025-02-25,2025-03-26,29.0,Rowing,Renta Dólar,Criteria,YMCJD,400000,,,,,,,,,Vencido,,
2025-03-03,2025-04-02,30.0,Rowing,Renta Dólar,Criteria,BPY6D (9247),1460000,,,,,,,,,Vencido,,
2025-03-03,2025-04-02,30.0,Rowing,Renta Dólar,Criteria,BPD7D (9237),783213,,,,,,,,,Vencido,,
2025-03-10,2025-04-09,30.0,Rowing,Renta Dólar,Options,BPY6D (9247),2430000,,,,,,,,,Vencido,,
2025-04-06,2025-06-05,60.0,Rowing,Gestion,Banco Hipotecario,TX26,200000000,,,,,,,,,Cancelado,CANCELACION ANTICIPADA 12/05/2025,
2025-05-06,2025-05-21,15.0,Industrial Valores,Performance,Industrial Valores,AL30,3500000,,,,,,,,,Vencido,,
